登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率,イン進入数,さされ率,まくられ率,まくりさされ率
4704,2026-01-29,2026-07-30,300,78,40,6,16,10,6,0,20.5,7.7,-0.04,0.0,58,6.9,3.4,13.8
4705,2026-01-29,2026-07-30,224,20,16,2,0,0,2,0,0.0,10.0,-0.04,0.0,32,18.8,18.8,12.5
4706,2026-01-29,2026-07-30,280,56,26,8,8,14,0,0,14.3,14.3,0.04,0.0,52,7.7,26.9,11.5
4708,2026-01-29,2026-07-30,168,10,6,2,2,0,0,0,20.0,20.0,-0.06,0.0,22,36.4,18.2,18.2
4709,2026-01-29,2026-07-30,186,32,14,4,0,4,10,0,0.0,12.5,-0.04,0.0,34,11.8,11.8,23.5
4710,2026-01-29,2026-07-30,270,64,40,6,6,4,6,2,9.4,9.4,0.04,0.8,52,3.8,11.5,7.7
4711,2026-01-29,2026-07-30,234,46,24,0,6,12,4,0,13.0,0.0,0.03,0.0,44,13.6,9.1,18.2
4713,2026-01-29,2026-07-30,274,68,36,12,6,6,8,0,8.8,17.6,0.03,0.0,54,3.7,7.4,3.7
4714,2026-01-29,2026-07-30,192,10,6,0,0,2,2,0,0.0,0.0,0.02,0.0,24,16.7,33.3,16.7
4715,2026-01-29,2026-07-30,164,38,18,2,6,10,2,0,15.8,5.3,0.05,0.0,30,6.7,20.0,6.7
4718,2026-01-29,2026-07-30,174,42,16,8,2,6,10,0,4.8,19.0,0.07,3.5,34,5.9,23.5,17.6
4719,2026-01-29,2026-07-30,258,74,54,6,10,4,0,0,13.5,8.1,0.08,0.8,64,6.2,3.1,6.2
4720,2026-01-29,2026-07-30,170,18,8,10,0,0,0,0,0.0,55.6,-0.01,0.0,22,9.1,27.3,18.2
4723,2026-01-29,2026-07-30,156,26,8,2,14,2,0,0,53.8,7.7,-0.53,0.0,20,20.0,30.0,10.0
4724,2026-01-29,2026-07-30,146,4,2,2,0,0,0,0,0.0,50.0,-0.12,0.0,20,40.0,40.0,0.0
4725,2026-01-29,2026-07-30,210,26,10,4,6,2,4,0,23.1,15.4,-0.04,0.0,32,18.8,6.2,31.2
4726,2026-01-29,2026-07-30,38,4,2,2,0,0,0,0,0.0,50.0,0.0,0.0,6,33.3,0.0,0.0
4727,2026-01-29,2026-07-30,158,8,6,2,0,0,0,0,0.0,25.0,0.07,2.8,20,0.0,50.0,10.0
4728,2026-01-29,2026-07-30,170,10,6,2,2,0,0,0,20.0,20.0,-0.05,0.0,24,8.3,33.3,33.3
