toban,stint,branch,firstDate,lastDate,nNear,nFar,winsNear,winsFar,top3Near,top3Far,eligible,winDiff,winDiffCourseAdj,top3Diff,top3DiffCourseAdj,meanFinishDiff,meanFinishDiffCourseAdj
3187,0,香川,2016-11-09,2021-11-15,35,764,3,76,14,324,1,-0.013762,-0.035707,-0.024084,-0.064337,0.066343,0.222745
3188,0,福岡,2016-11-03,2025-04-04,164,1454,26,287,104,947,1,-0.038850,-0.032342,-0.017160,-0.012304,0.086104,0.065171
3189,0,香川,2016-11-08,2018-12-26,30,312,1,10,10,79,1,0.001282,-0.008855,0.080128,0.060617,0.098077,0.169737
3200,0,東京,2016-11-01,2021-10-30,114,651,30,171,67,452,1,0.000485,0.005303,-0.106597,-0.108161,0.230172,0.230212
3202,0,東京,2016-11-06,2026-08-10,219,861,20,48,82,290,1,0.035575,0.031515,0.037612,0.042275,-0.151799,-0.165123
3207,0,東京,2016-11-03,2026-07-21,201,889,11,47,65,285,1,0.001858,-0.014196,0.002798,-0.011572,0.016823,0.078650
3211,0,佐賀,2016-11-08,2026-08-11,444,1123,44,106,189,468,1,0.004709,0.007485,0.008935,0.012198,-0.066874,-0.079890
3212,0,広島,2016-11-01,2026-08-08,319,1165,33,139,162,560,1,-0.015865,-0.024375,0.027150,0.010743,-0.101901,-0.040256
3214,0,岡山,2016-11-03,2018-11-11,42,277,1,13,11,69,1,-0.023122,-0.005046,0.012807,0.038103,0.094894,-0.008411
3220,0,静岡,2016-11-15,2022-10-13,268,784,24,77,114,363,1,-0.008662,-0.009687,-0.037637,-0.045359,0.146722,0.173639
3224,0,佐賀,2016-11-10,2026-08-10,505,1233,75,117,250,539,1,0.053624,0.057870,0.057904,0.059195,-0.181928,-0.189695
3225,0,東京,2016-11-07,2017-10-14,17,48,1,1,4,5,0,,,,,,
3226,0,東京,2016-11-03,2026-08-08,213,1230,19,113,108,528,1,-0.002668,-0.003125,0.077774,0.069648,-0.192614,-0.163771
3227,0,東京,2016-11-05,2024-01-22,219,802,52,158,130,422,1,0.040435,0.026081,0.067423,0.050635,-0.280281,-0.210859
3228,0,群馬,2016-11-18,2017-03-03,24,12,2,0,5,3,0,,,,,,
3231,0,愛知,2016-11-01,2023-01-04,156,887,22,105,77,394,1,0.022649,0.026557,0.049396,0.068208,-0.186938,-0.254307
3232,0,香川,2016-11-03,2026-08-11,159,1658,44,436,104,1065,1,0.013762,0.007154,0.011748,0.011007,-0.053065,-0.042420
3233,0,岡山,2016-11-01,2026-07-20,429,1636,65,226,228,890,1,0.013373,0.013435,-0.012541,-0.018505,-0.027074,-0.007155
3234,0,香川,2016-11-01,2021-10-22,56,660,2,48,11,190,1,-0.037013,-0.050153,-0.091450,-0.102213,0.250325,0.302485
3235,0,群馬,2016-11-03,2021-06-25,177,580,22,39,71,168,1,0.057052,0.038736,0.111475,0.098872,-0.458854,-0.399865
3236,0,東京,2016-11-08,2020-02-24,70,420,7,56,28,177,1,-0.033333,-0.042606,-0.021429,-0.034871,0.140476,0.189166
3243,0,大阪,2018-07-17,2024-06-18,145,534,7,55,44,156,1,-0.054720,-0.043448,0.011313,0.027985,0.026979,-0.040167
