jcd,venue,nSeries,nPairs,pairsPerRequired,underpowered,T3q,nullA_eq_mean,nullA_eq_sd,net,pTwoSided,nQ1,L2_obs,L2_nullMean,L2_ratio,L2_p,L3_obs,L3_nullMean,L3_ratio,L3_p,L4_obs,L4_nullMean,L4_ratio,L4_p,L5_obs,L5_nullMean,L5_ratio,L5_p,note
13,尼崎,1870,19515,0.351622,True,0.044304,0.02442,0.006558,0.019884,0.005994,5037,684,655.034,1.044221,0.167832,156,150.442,1.036944,0.641359,40,36.975,1.081812,0.625375,18,9.65,1.865285,0.021978,
14,鳴門,1839,19018,0.342667,True,0.018345,0.019185,0.006393,-0.000841,0.887113,3447,346,374.517,0.923857,0.067932,60,59.234,1.012932,0.943057,9,8.903,1.010895,1.0,4,1.295,3.088803,0.067932,
15,丸亀,1957,20194,0.363856,True,0.042121,0.014475,0.00646,0.027646,0.001998,4552,568,559.824,1.014605,0.697303,149,107.816,1.381984,0.001998,38,21.817,1.741761,0.001998,12,4.479,2.679169,0.005994,
16,児島,1945,20146,0.362991,True,0.029548,0.012212,0.006411,0.017335,0.011988,4708,610,589.12,1.035443,0.261738,115,114.67,1.002878,1.0,22,22.401,0.982099,1.0,5,4.194,1.192179,0.849151,
17,宮島,1991,20622,0.371568,True,0.033134,0.020118,0.006357,0.013016,0.045954,4992,605,632.715,0.956197,0.161838,148,130.72,1.132191,0.091908,37,27.92,1.325215,0.093906,5,5.948,0.840619,0.917083,
18,徳山,1979,20641,0.37191,True,0.033824,0.025944,0.006174,0.00788,0.175824,6539,895,917.49,0.975487,0.375624,262,247.473,1.058701,0.305694,76,68.566,1.108421,0.337662,20,19.363,1.032898,0.953047,
19,下関,1835,19069,0.343586,True,0.017955,0.018327,0.006402,-0.000372,0.959041,5063,671,672.578,0.997654,0.941059,139,152.543,0.911218,0.265734,62,34.715,1.785971,0.001998,8,8.195,0.976205,1.0,
20,若松,1937,19992,0.360216,True,0.018124,0.012169,0.006454,0.005954,0.325674,4739,597,589.694,1.012389,0.721279,151,114.026,1.324259,0.001998,36,22.275,1.616162,0.007992,12,4.644,2.583979,0.005994,
21,芦屋,1946,20230,0.364505,True,0.017796,0.016272,0.006495,0.001524,0.829171,5993,878,823.965,1.065579,0.021978,203,202.787,1.00105,1.0,54,50.273,1.074135,0.647353,16,12.692,1.260637,0.385614,
22,福岡,1904,19838,0.357441,True,0.030538,0.019645,0.0065,0.010893,0.097902,4923,607,632.725,0.959343,0.215784,150,141.485,1.060183,0.425574,26,33.752,0.770325,0.213786,11,8.276,1.329145,0.387612,
23,唐津,1917,19780,0.356396,True,0.024394,0.015959,0.006356,0.008435,0.185814,5024,680,650.593,1.0452,0.137862,167,138.643,1.204533,0.007992,37,30.413,1.216585,0.243756,7,6.565,1.06626,0.953047,
24,大村,1966,20415,0.367838,True,0.039318,0.015441,0.006194,0.023877,0.001998,6467,916,911.202,1.005266,0.853147,288,237.452,1.212877,0.001998,66,62.622,1.053943,0.673327,22,16.694,1.317839,0.245754,
