unit,jcd,venue,speedBand,component,n_all,out_all,rate_all,ciLow_all,ciHigh_all,note_all,n_in1,out_in1,rate_in1,ciLow_in1,ciHigh_in1,note_in1,diffPt_in1MinusAll
Z1,全場,全場,4-5,計,14043,2837,20.2,19.55,20.87,,13858,2717,19.61,18.95,20.28,,-0.59
Z1,全場,全場,6+,計,4648,1090,23.45,22.26,24.69,,4579,1049,22.91,21.71,24.15,,-0.54
Z1,全場,全場,計,追い風,13625,2675,19.63,18.97,20.31,,13429,2567,19.12,18.46,19.79,,-0.51
Z1,全場,全場,計,横風,31737,6092,19.2,18.77,19.63,,31346,5859,18.69,18.26,19.13,,-0.51
Z1,全場,全場,計,向かい風,15119,2887,19.1,18.48,19.73,,14921,2755,18.46,17.85,19.09,,-0.64
Z1,全場,全場,計,計,64469,12439,19.29,18.99,19.6,,63636,11937,18.76,18.46,19.06,,-0.53
Z2,24,大村,0-1,追い風,147,19,,,,n不足,145,17,,,,n不足,
Z2,24,大村,0-1,横風,850,109,12.82,10.74,15.24,,844,105,12.44,10.38,14.84,,-0.38
Z2,24,大村,0-1,向かい風,343,41,11.95,8.93,15.81,,341,40,11.73,8.73,15.58,,-0.22
Z2,24,大村,2-3,追い風,296,39,,,,n不足,296,39,,,,n不足,
Z2,24,大村,2-3,横風,534,91,17.04,14.09,20.46,,529,88,16.64,13.7,20.05,,-0.4
Z2,24,大村,2-3,向かい風,233,36,,,,n不足,233,36,,,,n不足,
Z2,24,大村,4-5,追い風,123,18,,,,n不足,123,18,,,,n不足,
Z2,24,大村,4-5,横風,97,18,,,,n不足,97,18,,,,n不足,
Z2,24,大村,4-5,向かい風,23,5,,,,n不足,23,5,,,,n不足,
Z2,24,大村,6+,追い風,114,16,,,,n不足,114,16,,,,n不足,
Z2,24,大村,6+,横風,42,11,,,,n不足,42,11,,,,n不足,
Z2,24,大村,6+,向かい風,22,4,,,,n不足,21,3,,,,n不足,
Z2,24,大村,無風,無風,65,13,,,,n不足,64,13,,,,n不足,
Z2,24,大村,0-1,計,1340,169,12.61,10.94,14.5,,1330,162,12.18,10.53,14.05,,-0.43
Z2,24,大村,2-3,計,1063,166,15.62,13.56,17.92,,1058,163,15.41,13.36,17.71,,-0.21
Z2,24,大村,4-5,計,243,41,,,,n不足,243,41,,,,n不足,
Z2,24,大村,6+,計,178,31,,,,n不足,177,30,,,,n不足,
Z2,24,大村,計,追い風,680,92,13.53,11.16,16.31,,678,90,13.27,10.93,16.04,,-0.26
Z2,24,大村,計,横風,1523,229,15.04,13.33,16.92,,1512,222,14.68,12.99,16.56,,-0.36
Z2,24,大村,計,向かい風,621,86,13.85,11.35,16.79,,618,84,13.59,11.11,16.52,,-0.26
Z2,24,大村,計,計,2889,420,14.54,13.3,15.87,,2872,409,14.24,13.01,15.57,,-0.3
Z3,01,桐生,計,追い風,1296,310,23.92,21.68,26.32,,1259,290,23.03,20.79,25.44,,-0.89
Z3,01,桐生,計,横風,834,209,25.06,22.24,28.11,,804,187,23.26,20.47,26.3,,-1.8
Z3,01,桐生,計,向かい風,399,75,18.8,15.27,22.92,,387,68,17.57,14.1,21.68,,-1.23
Z3,01,桐生,計,無風,274,53,,,,n不足,264,47,,,,n不足,
Z3,01,桐生,計,計,2803,647,23.08,21.56,24.68,,2714,592,21.81,20.3,23.41,,-1.27
Z3,02,戸田,計,追い風,413,112,27.12,23.06,31.6,,408,109,26.72,22.65,31.21,,-0.4
Z3,02,戸田,計,横風,757,211,27.87,24.8,31.17,,745,203,27.25,24.17,30.56,,-0.62
Z3,02,戸田,計,向かい風,708,212,29.94,26.69,33.42,,703,209,29.73,26.47,33.21,,-0.21
Z3,02,戸田,計,無風,700,192,27.43,24.25,30.85,,690,186,26.96,23.78,30.39,,-0.47
Z3,02,戸田,計,計,2578,727,28.2,26.5,29.97,,2546,707,27.77,26.06,29.54,,-0.43
Z3,03,江戸川,計,追い風,361,69,19.11,15.39,23.49,,358,66,18.44,14.76,22.78,,-0.67
Z3,03,江戸川,計,横風,1786,428,23.96,22.04,26.0,,1781,423,23.75,21.83,25.78,,-0.21
Z3,03,江戸川,計,向かい風,249,56,,,,n不足,247,54,,,,n不足,
Z3,03,江戸川,計,無風,4,1,,,,n不足,4,1,,,,n不足,
Z3,03,江戸川,計,計,2400,554,23.08,21.44,24.81,,2390,544,22.76,21.13,24.49,,-0.32
Z3,04,平和島,計,追い風,32,14,,,,n不足,30,12,,,,n不足,
Z3,04,平和島,計,横風,1936,465,24.02,22.17,25.97,,1921,457,23.79,21.94,25.74,,-0.23
Z3,04,平和島,計,向かい風,286,84,,,,n不足,284,83,,,,n不足,
Z3,04,平和島,計,無風,136,46,,,,n不足,134,46,,,,n不足,
Z3,04,平和島,計,計,2390,609,25.48,23.77,27.27,,2369,598,25.24,23.53,27.03,,-0.24
Z3,05,多摩川,計,追い風,234,50,,,,n不足,233,50,,,,n不足,
Z3,05,多摩川,計,横風,1453,285,19.61,17.65,21.74,,1444,280,19.39,17.43,21.51,,-0.22
Z3,05,多摩川,計,向かい風,795,170,21.38,18.67,24.37,,791,166,20.99,18.29,23.96,,-0.39
Z3,05,多摩川,計,無風,225,48,,,,n不足,222,47,,,,n不足,
Z3,05,多摩川,計,計,2707,553,20.43,18.95,21.99,,2690,543,20.19,18.71,21.74,,-0.24
Z3,06,浜名湖,計,追い風,515,101,19.61,16.41,23.26,,504,94,18.65,15.49,22.28,,-0.96
Z3,06,浜名湖,計,横風,1445,324,22.42,20.35,24.64,,1413,306,21.66,19.59,23.88,,-0.76
Z3,06,浜名湖,計,向かい風,891,176,19.75,17.27,22.49,,869,161,18.53,16.08,21.25,,-1.22
Z3,06,浜名湖,計,無風,86,23,,,,n不足,84,21,,,,n不足,
Z3,06,浜名湖,計,計,2937,624,21.25,19.8,22.76,,2870,582,20.28,18.85,21.79,,-0.97
Z3,07,蒲郡,計,追い風,131,17,,,,n不足,128,16,,,,n不足,
Z3,07,蒲郡,計,横風,1892,348,18.39,16.71,20.2,,1841,320,17.38,15.72,19.18,,-1.01
Z3,07,蒲郡,計,向かい風,546,111,20.33,17.17,23.91,,527,96,18.22,15.15,21.74,,-2.11
Z3,07,蒲郡,計,無風,92,10,,,,n不足,90,9,,,,n不足,
Z3,07,蒲郡,計,計,2661,486,18.26,16.84,19.78,,2586,441,17.05,15.65,18.55,,-1.21
Z3,08,常滑,計,追い風,867,185,21.34,18.74,24.19,,846,173,20.45,17.87,23.3,,-0.89
Z3,08,常滑,計,横風,1514,286,18.89,17.0,20.94,,1488,272,18.28,16.4,20.32,,-0.61
Z3,08,常滑,計,向かい風,528,81,15.34,12.52,18.66,,520,75,14.42,11.66,17.7,,-0.92
Z3,08,常滑,計,無風,13,0,,,,n不足,13,0,,,,n不足,
