jcd,R,n,man,rate
10,11,1851,354,0.191248
10,12,1827,306,0.167488
11,1,1832,287,0.156659
11,2,1817,368,0.202532
11,3,1821,336,0.184514
11,4,1818,362,0.19912
11,5,1823,269,0.147559
11,6,1798,297,0.165184
11,7,1789,302,0.168809
11,8,1785,281,0.157423
11,9,1783,331,0.185642
11,10,1785,343,0.192157
11,11,1791,315,0.175879
11,12,1782,327,0.183502
12,1,1867,291,0.155865
12,2,1860,337,0.181183
12,3,1855,330,0.177898
12,4,1855,331,0.178437
12,5,1857,306,0.164782
12,6,1857,289,0.155627
12,7,1857,323,0.173936
12,8,1854,291,0.156958
12,9,1851,312,0.168558
12,10,1855,304,0.163881
12,11,1860,267,0.143548
12,12,1856,272,0.146552
13,1,1841,275,0.149375
13,2,1826,295,0.161555
13,3,1837,341,0.185629
13,4,1829,311,0.170038
13,5,1831,264,0.144184
13,6,1827,219,0.119869
13,7,1817,273,0.150248
13,8,1811,274,0.151298
13,9,1809,282,0.155887
13,10,1800,284,0.157778
13,11,1806,257,0.142303
13,12,1802,262,0.145394
14,1,1804,272,0.150776
14,2,1809,386,0.213378
14,3,1801,342,0.189895
14,4,1795,351,0.195543
14,5,1781,341,0.191465
14,6,1779,352,0.197864
14,7,1771,358,0.202146
14,8,1769,363,0.205201
14,9,1779,342,0.192243
14,10,1757,379,0.215709
14,11,1754,372,0.212087
14,12,1752,367,0.209475
15,1,1901,349,0.183588
15,2,1897,365,0.192409
15,3,1903,414,0.217551
15,4,1897,364,0.191882
15,5,1907,347,0.181961
15,6,1903,330,0.17341
15,7,1906,306,0.160546
15,8,1876,210,0.11194
15,9,1868,351,0.187901
15,10,1874,309,0.164888
15,11,1878,332,0.176784
15,12,1883,304,0.161445
16,1,1911,299,0.156463
16,2,1894,403,0.212777
16,3,1895,425,0.224274
16,4,1888,396,0.209746
16,5,1900,375,0.197368
16,6,1908,259,0.135744
16,7,1891,346,0.182972
16,8,1883,326,0.173128
16,9,1873,281,0.150027
16,10,1862,332,0.178303
16,11,1878,304,0.161874
16,12,1855,270,0.145553
17,1,1944,339,0.174383
17,2,1941,403,0.207625
17,3,1951,407,0.208611
17,4,1951,381,0.195284
17,5,1931,305,0.157949
17,6,1938,334,0.172343
17,7,1927,345,0.179035
17,8,1921,318,0.165539
17,9,1919,289,0.150599
17,10,1909,327,0.171294
17,11,1917,324,0.169014
17,12,1914,316,0.165099
18,1,1942,247,0.127188
18,2,1953,294,0.150538
18,3,1940,247,0.12732
18,4,1947,224,0.115049
18,5,1932,296,0.153209
18,6,1923,342,0.177847
18,7,1914,310,0.161964
18,8,1908,303,0.158805
18,9,1915,333,0.17389
18,10,1905,272,0.142782
18,11,1913,268,0.140094
18,12,1929,235,0.121825
19,1,1786,315,0.176372
19,2,1778,367,0.206412
19,3,1794,324,0.180602
19,4,1785,335,0.187675
19,5,1782,266,0.14927
19,6,1783,288,0.161526
19,7,1787,271,0.151651
19,8,1770,250,0.141243
19,9,1783,261,0.146383
19,10,1779,273,0.153457
19,11,1778,258,0.145107
19,12,1774,261,0.147125
20,1,1876,371,0.197761
20,2,1872,405,0.216346
20,3,1890,387,0.204762
20,4,1879,413,0.219798
20,5,1867,247,0.132298
20,6,1874,342,0.182497
20,7,1873,307,0.163908
20,8,1880,259,0.137766
20,9,1853,292,0.157582
20,10,1862,315,0.169173
20,11,1870,282,0.150802
20,12,1860,301,0.161828
21,1,1913,312,0.163095
21,2,1913,326,0.170413
21,3,1899,299,0.157451
21,4,1909,205,0.107386
21,5,1898,287,0.151212
21,6,1886,388,0.205726
21,7,1880,295,0.156915
21,8,1887,343,0.18177
21,9,1876,344,0.183369
21,10,1874,344,0.183565
21,11,1892,350,0.184989
21,12,1871,314,0.167825
22,1,1866,282,0.151125
22,2,1870,323,0.172727
22,3,1861,335,0.180011
22,4,1861,335,0.180011
22,5,1851,296,0.159914
22,6,1857,283,0.152396
22,7,1853,256,0.138154
22,8,1838,212,0.115343
22,9,1850,305,0.164865
22,10,1838,328,0.178455
22,11,1837,284,0.1546
22,12,1847,318,0.172171
23,1,1870,256,0.136898
23,2,1882,280,0.148778
23,3,1869,269,0.143927
23,4,1872,313,0.167201
23,5,1862,343,0.184211
23,6,1867,321,0.171934
23,7,1856,321,0.172953
23,8,1828,348,0.190372
23,9,1840,349,0.189674
23,10,1842,317,0.172096
23,11,1832,319,0.174127
23,12,1841,290,0.157523
24,1,1927,330,0.171251
24,2,1925,366,0.19013
24,3,1905,335,0.175853
24,4,1923,342,0.177847
24,5,1905,266,0.139633
24,6,1923,276,0.143526
24,7,1900,221,0.116316
24,8,1911,252,0.131868
24,9,1903,263,0.138203
24,10,1881,260,0.138224
24,11,1900,229,0.120526
24,12,1895,254,0.134037
