date,model,jcd,rno,p,high,y,hit
20260811,m8-v1-pm,21,9,0.089,false,0,
20260811,m8-v1-pm,03,9,0.089,false,,
20260811,m8-v1-pm,13,12,0.0686,false,0,
20260811,m8-v1-pm,06,4,0.0686,false,0,
20260811,m8-v1-pm,04,2,0.0686,false,0,
20260811,m8-v1-pm,20,4,0.0686,false,0,
20260811,m8-v1-pm,03,11,0.0686,false,,
20260811,m8-v1-pm,21,11,0.0686,false,0,
20260811,m8-v1-pm,03,6,0.054,false,,
20260811,m8-v1-pm,15,9,0.054,false,1,
20260811,m8-v1-pm,20,9,0.054,false,0,
20260811,m8-v1-pm,21,5,0.054,false,0,
20260811,m8-v1-pm,15,11,0.054,false,0,
20260811,m8-v1-pm,08,8,0.054,false,0,
20260811,m8-v1-pm,16,12,0.054,false,0,
20260811,m8-v1-pm,23,12,0.019,false,0,
20260811,m8-v1-pm,20,11,0.019,false,0,
20260811,m8-v1-pm,01,6,0.019,false,0,
20260811,m8-v1-pm,16,11,0.019,false,0,
20260811,m8-v1-pm,23,11,0.019,false,0,
20260811,m8-v1-pm,21,4,0.019,false,0,
20260811,m8-v1-pm,23,2,0.019,false,0,
20260811,m8-v1-pm,16,9,0.0,false,0,
20260811,m8-v1-pm,21,1,0.0,false,0,
20260811,m8-v1-pm,23,1,0.0,false,0,
20260811,m8-v1-pm,23,3,0.0,false,0,
20260812,m8-v1-pm,20,1,0.5658,true,1,1
20260812,m8-v1-pm,19,3,0.5658,true,1,1
20260812,m8-v1-pm,02,4,0.5658,true,1,1
20260812,m8-v1-pm,19,6,0.5658,false,0,
20260812,m8-v1-pm,03,3,0.5658,false,0,
20260812,m8-v1-pm,24,4,0.5,false,1,
20260812,m8-v1-pm,23,6,0.5,false,1,
20260812,m8-v1-pm,21,8,0.4931,false,0,
20260812,m8-v1-pm,23,5,0.4931,false,0,
20260812,m8-v1-pm,02,2,0.4931,false,1,
20260812,m8-v1-pm,24,1,0.4931,false,1,
20260812,m8-v1-pm,23,4,0.4931,false,0,
20260812,m8-v1-pm,06,6,0.4521,false,1,
20260812,m8-v1-pm,08,7,0.4521,false,0,
20260812,m8-v1-pm,24,9,0.4521,false,1,
20260812,m8-v1-pm,04,7,0.4521,false,1,
